ID,CATEGORY,CLUE,ANSWER
0,COLLEGES & UNIVERSITIES,"This Hanover, New Hampshire college was established in 1770 when Eleazer Wheelock erected a single log hut",Dartmouth
1,JANUARY HOLIDAYS & OBSERVANCES,January 3 is admission day in this state that celebrates being No. 49,Alaska
2,"WAYS TO ""PLAY""",To cut class or skip school,To play hooky
3,CLASSIC FILMS,Tex Ritter sang the theme of this 1952 Gary Cooper pic,<i>High Noon</i>
4,ARCHITECTURE,"This term for wooden paneling comes from the Middle Dutch ""wagenschot"", perhaps meaning wagon wood",wainscoting
5,STORIES OF THE SAINTS,"In a vision on the wall of her room, St. Clare witnessed a mass & so today is the patron saint of this modern invention",television
6,ANCIENT WISDOM,"In the 4th century B.C., Aristotle said that ""man is by nature"" this type of ""animal""",a political animal
7,ALMOST REAL,This training device puts a pilot in a replica of a cockpit,Flight simulator
8,TIME FOR AN APP,"The ""world's largest professional network"", it's like Facebook but for finding jobs & making business connections",LinkedIn
9,"ENGLAND, SCOTLAND OR WALES",The largest in area of the 3,England
10,WORLD GEOGRAPHY,"Norway's 2nd-largest city; it was once known as Bjorgvin, or ""hill pasture""",Bergen
11,FIRST THINGS FIRST,"Opened in Houston in 1965, it was the first fully enclosed sports stadium; today, it bears the Reliant name as well",the Astrodome
12,SKIPPER,"In 1847 Francis Crozier took over the Northwest Passage expedition of Erebus & this ship, the title of an AMC show",the <i>Terror</i>
13,VERY CROSS WORD CLUES,It can mean to emit vapor or to show irritation,fume (or vent)
14,INDUSTRIAL DESIGN,"For a while, Studebaker & this bus company left the designing to Raymond Loewy",Greyhound
15,THAT '70s  OR '80s SHOW,"As Lou Grant, this actor told Mary Tyler Moore at a job interview, ""You got spunk... I hate spunk!""",Ed Asner
16,"""LAP"" DANCE",Perry Farrell of Jane's Addiction & Porno for Pyros founded this mega-concert event,Lollapalooza
17,BIOCHEMISTRY,It was seen as the sad sack nucleic acid until the 1980s discovery that it can be a catalyst for biological reactions,RNA
18,INDUSTRY LEADERS,"Nuaire is ""the world's leading manufacturer"" of equipment for this type of place, e.g. biological safety cabinets",laboratories
19,HAWAII,Charles Lindbergh is buried near the foot of Haleakala on this island,Maui
20,JULIE & JULIA,"40 years later & Julie Newmar is still best remembered for playing this villainess on ""Batman""",Catwoman
21,WORLD HISTORY,In 1816 Shaka became leader of this African people & embarked on a program of conquest,Zulu
22,BIRDLIKE VERBS,To worry persistently in a gloomy way,brood
23,RIP VAN WINKLE,Rip was a descendant of the Van Winkles who served under this one-legged governor of New Netherland,(Peter) Stuyvesant
24,DIRECTORS,"Yilmaz Guney, accused of murder, directed his award-winning Turkish film ""Yol"" from this odd location",in prison
25,SLOVAKIAN HISTORY,"Regiomontanus, the 1st scientific student of comets, taught at the Academia Istropolitana, Slovakia's 1st this",university
26,"GIVE ME 5 ""CC""s",This ball-rolling game is a Special Olympics event,bocce
